version;0.3;;;
Cisco Unified Communications Manager;;CVE-2021-34773;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2021-34773
Cisco Unified Communications Manager;< 11.5(1);CVE-2020-3135;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2020-3135
Cisco Unified Communications Manager;< 11.5(1);CVE-2021-44228;Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and...;https://nvd.nist.gov/vuln/detail/CVE-2021-44228
Cisco Unified Communications Manager;< 11.5(1)su9;CVE-2021-1282;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1282
Cisco Unified Communications Manager;< 11.5(1)su9;CVE-2021-1355;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1355
Cisco Unified Communications Manager;< 11.5(1)su9;CVE-2021-1357;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1357
Cisco Unified Communications Manager;< 11.5(1)su9;CVE-2021-1364;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1364
Cisco Unified Communications Manager;< 12.5(1)su6;CVE-2022-20862;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20862
Cisco Unified Communications Manager;< 12.5(1)su7;CVE-2023-20010;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2023-20010
Cisco Unified Communications Manager;< 12.5(1)su8;CVE-2024-20253;A vulnerability in multiple Cisco Unified Communications and Contact Center Solutions p...;https://nvd.nist.gov/vuln/detail/CVE-2024-20253
Cisco Unified Communications Manager;< 12.6;CVE-2021-1478;A vulnerability in the Java Management Extensions (JMX) component of Cisco Unified Comm...;https://nvd.nist.gov/vuln/detail/CVE-2021-1478
Cisco Unified Communications Manager;< 14;CVE-2021-1380;Multiple vulnerabilities in the web-based management interface of Cisco Unified Communi...;https://nvd.nist.gov/vuln/detail/CVE-2021-1380
Cisco Unified Communications Manager;< 14;CVE-2021-1407;Multiple vulnerabilities in the web-based management interface of Cisco Unified Communi...;https://nvd.nist.gov/vuln/detail/CVE-2021-1407
Cisco Unified Communications Manager;< 14;CVE-2021-1408;Multiple vulnerabilities in the web-based management interface of Cisco Unified Communi...;https://nvd.nist.gov/vuln/detail/CVE-2021-1408
Cisco Unified Communications Manager;< 14;CVE-2021-1409;Multiple vulnerabilities in the web-based management interface of Cisco Unified Communi...;https://nvd.nist.gov/vuln/detail/CVE-2021-1409
Cisco Unified Communications Manager;< 14su1;CVE-2021-34701;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2021-34701
Cisco Unified Communications Manager;< 6.1(1);CVE-2009-2050;Cisco Unified Communications Manager (aka CUCM, formerly CallManager) before 6.1(1) all...;https://nvd.nist.gov/vuln/detail/CVE-2009-2050
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0724;The bulk administration interface in Cisco Unified Communications Manager (UCM) 10.0(1)...;https://nvd.nist.gov/vuln/detail/CVE-2014-0724
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0726;SQL injection vulnerability in the IP Manager Assistant (IPMA) interface in Cisco Unifi...;https://nvd.nist.gov/vuln/detail/CVE-2014-0726
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0728;SQL injection vulnerability in the Java database interface in Cisco Unified Communicati...;https://nvd.nist.gov/vuln/detail/CVE-2014-0728
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0731;The administration interface in Cisco Unified Communications Manager (Unified CM) 10.0(...;https://nvd.nist.gov/vuln/detail/CVE-2014-0731
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0732;The Real Time Monitoring Tool (RTMT) web application in Cisco Unified Communications Ma...;https://nvd.nist.gov/vuln/detail/CVE-2014-0732
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0733;The Enterprise License Manager (ELM) component in Cisco Unified Communications Manager...;https://nvd.nist.gov/vuln/detail/CVE-2014-0733
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0734;SQL injection vulnerability in the Certificate Authority Proxy Function (CAPF) implemen...;https://nvd.nist.gov/vuln/detail/CVE-2014-0734
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0735;Cross-site scripting (XSS) vulnerability in the IP Manager Assistant (IPMA) interface i...;https://nvd.nist.gov/vuln/detail/CVE-2014-0735
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0736;Cross-site request forgery (CSRF) vulnerability in the Call Detail Records Analysis and...;https://nvd.nist.gov/vuln/detail/CVE-2014-0736
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0740;Cross-site request forgery (CSRF) vulnerability in the Call Detail Records Analysis and...;https://nvd.nist.gov/vuln/detail/CVE-2014-0740
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0741;The certificate-import feature in the Certificate Authority Proxy Function (CAPF) CLI i...;https://nvd.nist.gov/vuln/detail/CVE-2014-0741
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0742;The Certificate Authority Proxy Function (CAPF) CLI implementation in the CSR managemen...;https://nvd.nist.gov/vuln/detail/CVE-2014-0742
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0743;The Certificate Authority Proxy Function (CAPF) component in Cisco Unified Communicatio...;https://nvd.nist.gov/vuln/detail/CVE-2014-0743
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-0747;The Certificate Authority Proxy Function (CAPF) CLI implementation in Cisco Unified Com...;https://nvd.nist.gov/vuln/detail/CVE-2014-0747
Cisco Unified Communications Manager;<= 10.0(1);CVE-2014-7991;The Remote Mobile Access Subsystem in Cisco Unified Communications Manager (CM) 10.0(1)...;https://nvd.nist.gov/vuln/detail/CVE-2014-7991
Cisco Unified Communications Manager;<= 10.5(2.10000.5);CVE-2015-0749;A vulnerability in Cisco Unified Communications Manager could allow an unauthenticated,...;https://nvd.nist.gov/vuln/detail/CVE-2015-0749
Cisco Unified Communications Manager;<= 11.5(1.10000.6);CVE-2022-20791;A vulnerability in the database user privileges of Cisco Unified Communications Manager...;https://nvd.nist.gov/vuln/detail/CVE-2022-20791
Cisco Unified Communications Manager;<= 14.0;CVE-2022-20790;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20790
Cisco Unified Communications Manager;<= 14.0;CVE-2022-20804;A vulnerability in the Cisco Discovery Protocol of Cisco Unified Communications Manager...;https://nvd.nist.gov/vuln/detail/CVE-2022-20804
Cisco Unified Communications Manager;<= 5.1(2);CVE-2007-5537;Cisco Unified Communications Manager (CUCM, formerly CallManager) 5.1 before 5.1(2), an...;https://nvd.nist.gov/vuln/detail/CVE-2007-5537
Cisco Unified Communications Manager;<= 5.1(2);CVE-2007-5538;Buffer overflow in the Centralized TFTP File Locator Service in Cisco Unified Communica...;https://nvd.nist.gov/vuln/detail/CVE-2007-5538
Cisco Unified Communications Manager;<= 6.1(5);CVE-2010-2837;The SIPStationInit implementation in Cisco Unified Communications Manager (aka CUCM, fo...;https://nvd.nist.gov/vuln/detail/CVE-2010-2837
Cisco Unified Communications Manager;<= 7.0(2a)su2;CVE-2010-2837;The SIPStationInit implementation in Cisco Unified Communications Manager (aka CUCM, fo...;https://nvd.nist.gov/vuln/detail/CVE-2010-2837
Cisco Unified Communications Manager;<= 7.0(2a)su2;CVE-2010-2838;The SendCombinedStatusInfo implementation in Cisco Unified Communications Manager (aka...;https://nvd.nist.gov/vuln/detail/CVE-2010-2838
Cisco Unified Communications Manager;<= 7.1(5)su1a;CVE-2010-2837;The SIPStationInit implementation in Cisco Unified Communications Manager (aka CUCM, fo...;https://nvd.nist.gov/vuln/detail/CVE-2010-2837
Cisco Unified Communications Manager;<= 7.1(5)su1a;CVE-2010-2838;The SendCombinedStatusInfo implementation in Cisco Unified Communications Manager (aka...;https://nvd.nist.gov/vuln/detail/CVE-2010-2838
Cisco Unified Communications Manager;<= 8.6(2);CVE-2014-3332;Cisco Unified Communications Manager (CM) 8.6(.2) and earlier has an incorrect CLI rest...;https://nvd.nist.gov/vuln/detail/CVE-2014-3332
Cisco Unified Communications Manager;<= 8.6(4);CVE-2013-3453;Memory leak in Cisco Unified Communications Manager IM and Presence Service before 8.6(...;https://nvd.nist.gov/vuln/detail/CVE-2013-3453
Cisco Unified Communications Manager;<= 9.1(1);CVE-2013-6688;Directory traversal vulnerability in the license-upload interface in the Enterprise Lic...;https://nvd.nist.gov/vuln/detail/CVE-2013-6688
Cisco Unified Communications Manager;<= 9.1(1);CVE-2013-6689;Cisco Unified Communications Manager (Unified CM) 9.1(1) and earlier allows local users...;https://nvd.nist.gov/vuln/detail/CVE-2013-6689
Cisco Unified Communications Manager;<= 9.1(1);CVE-2013-6978;The disaster recovery system (DRS) component in Cisco Unified Communications Manager (U...;https://nvd.nist.gov/vuln/detail/CVE-2013-6978
Cisco Unified Communications Manager;<= 9.1(1);CVE-2014-0657;The administration portal in Cisco Unified Communications Manager (Unified CM) 9.1(1) a...;https://nvd.nist.gov/vuln/detail/CVE-2014-0657
Cisco Unified Communications Manager;<= 9.1(2.10000.28);CVE-2014-0686;Cisco Unified Communications Manager (aka Unified CM) 9.1 (2.10000.28) and earlier allo...;https://nvd.nist.gov/vuln/detail/CVE-2014-0686
Cisco Unified Communications Manager;>= 10.0 and < 10.5(2)su5;CVE-2017-6779;Multiple Cisco products are affected by a vulnerability in local file management for ce...;https://nvd.nist.gov/vuln/detail/CVE-2017-6779
Cisco Unified Communications Manager;>= 10.0(1.10000.24) and <= 10.5(2.10000.5);CVE-2017-6791;A vulnerability in the Trust Verification Service (TVS) of Cisco Unified Communications...;https://nvd.nist.gov/vuln/detail/CVE-2017-6791
Cisco Unified Communications Manager;>= 10.0_base and <= 10.5(3.10000.9);CVE-2017-3808;A vulnerability in the Session Initiation Protocol (SIP) UDP throttling process of Cisc...;https://nvd.nist.gov/vuln/detail/CVE-2017-3808
Cisco Unified Communications Manager;>= 10.5 and <= 10.5(2.10000.5);CVE-2019-15963;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2019-15963
Cisco Unified Communications Manager;>= 10.5(2) and < 10.5(2)su10;CVE-2020-3282;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2020-3282
Cisco Unified Communications Manager;>= 10.5(2) and < 11.5(1)su9;CVE-2021-1362;A vulnerability in the SOAP API endpoint of Cisco Unified Communications Manager, Cisco...;https://nvd.nist.gov/vuln/detail/CVE-2021-1362
Cisco Unified Communications Manager;>= 10.5(2) and < 12.5(1)su4;CVE-2021-1399;A vulnerability in the Self Care Portal of Cisco Unified Communications Manager (Unifie...;https://nvd.nist.gov/vuln/detail/CVE-2021-1399
Cisco Unified Communications Manager;>= 10.5(2) and <= 10.5(2)su10;CVE-2020-3346;A vulnerability in the web UI of Cisco Unified Communications Manager (Unified CM) and...;https://nvd.nist.gov/vuln/detail/CVE-2020-3346
Cisco Unified Communications Manager;>= 10.5(2) and <= 10.5(2)su10;CVE-2021-1406;A vulnerability in Cisco Unified Communications Manager (Unified CM) and Cisco Unified...;https://nvd.nist.gov/vuln/detail/CVE-2021-1406
Cisco Unified Communications Manager;>= 10.5(2.10000.5) and <= 10.5(2.14076.1);CVE-2017-3872;A cross-site scripting (XSS) filter bypass vulnerability in the web-based management in...;https://nvd.nist.gov/vuln/detail/CVE-2017-3872
Cisco Unified Communications Manager;>= 11.0 and < 11.0(1a)su4;CVE-2017-6779;Multiple Cisco products are affected by a vulnerability in local file management for ce...;https://nvd.nist.gov/vuln/detail/CVE-2017-6779
Cisco Unified Communications Manager;>= 11.0(0.98000.225) and <= 11.5(1.12000.1);CVE-2017-3808;A vulnerability in the Session Initiation Protocol (SIP) UDP throttling process of Cisc...;https://nvd.nist.gov/vuln/detail/CVE-2017-3808
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2017-12357;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2017-12357
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2017-3828;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2017-3828
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2017-3829;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2017-3829
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2017-3872;A cross-site scripting (XSS) filter bypass vulnerability in the web-based management in...;https://nvd.nist.gov/vuln/detail/CVE-2017-3872
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2017-3886;A vulnerability in the Cisco Unified Communications Manager web interface could allow a...;https://nvd.nist.gov/vuln/detail/CVE-2017-3886
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2017-6654;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2017-6654
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2017-6757;A vulnerability in Cisco Unified Communications Manager 10.5(2.10000.5), 11.0(1.10000.1...;https://nvd.nist.gov/vuln/detail/CVE-2017-6757
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2017-6779;Multiple Cisco products are affected by a vulnerability in local file management for ce...;https://nvd.nist.gov/vuln/detail/CVE-2017-6779
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2017-6785;A vulnerability in configuration modification permissions validation for Cisco Unified...;https://nvd.nist.gov/vuln/detail/CVE-2017-6785
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2018-0266;A vulnerability in the web framework of Cisco Unified Communications Manager could allo...;https://nvd.nist.gov/vuln/detail/CVE-2018-0266
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2018-0267;A vulnerability in the web framework of Cisco Unified Communications Manager could allo...;https://nvd.nist.gov/vuln/detail/CVE-2018-0267
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2018-0328;A vulnerability in the web framework of Cisco Unified Communications Manager and Cisco...;https://nvd.nist.gov/vuln/detail/CVE-2018-0328
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2018-0340;A vulnerability in the web framework of the Cisco Unified Communications Manager (Unifi...;https://nvd.nist.gov/vuln/detail/CVE-2018-0340
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2018-0355;A vulnerability in the web UI of Cisco Unified Communications Manager (Unified CM) coul...;https://nvd.nist.gov/vuln/detail/CVE-2018-0355
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2018-0411;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2018-0411
Cisco Unified Communications Manager;>= 11.0(1.10000.10) and <= 11.5(1.10000.6);CVE-2018-15403;A vulnerability in the web interface of Cisco Emergency Responder, Cisco Unified Commun...;https://nvd.nist.gov/vuln/detail/CVE-2018-15403
Cisco Unified Communications Manager;>= 11.5 and < 11.5(1)su3;CVE-2017-6779;Multiple Cisco products are affected by a vulnerability in local file management for ce...;https://nvd.nist.gov/vuln/detail/CVE-2017-6779
Cisco Unified Communications Manager;>= 11.5 and <= 11.5(1.10000.6);CVE-2019-15963;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2019-15963
Cisco Unified Communications Manager;>= 11.5(1) and < 11.5(1)su11;CVE-2022-20788;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20788
Cisco Unified Communications Manager;>= 11.5(1) and < 11.5(1)su8;CVE-2020-3282;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2020-3282
Cisco Unified Communications Manager;>= 11.5(1) and < 11.5(1)su9;CVE-2021-1226;A vulnerability in the audit logging component of Cisco Unified Communications Manager,...;https://nvd.nist.gov/vuln/detail/CVE-2021-1226
Cisco Unified Communications Manager;>= 11.5(1) and < 12.5(1)su7;CVE-2023-20010;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2023-20010
Cisco Unified Communications Manager;>= 11.5(1) and < 14su2;CVE-2022-20800;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20800
Cisco Unified Communications Manager;>= 11.5(1) and < 14su2;CVE-2022-20816;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20816
Cisco Unified Communications Manager;>= 11.5(1) and <= 11.5(1)su8;CVE-2020-3346;A vulnerability in the web UI of Cisco Unified Communications Manager (Unified CM) and...;https://nvd.nist.gov/vuln/detail/CVE-2020-3346
Cisco Unified Communications Manager;>= 11.5(1) and <= 11.5(1)su9;CVE-2021-1406;A vulnerability in Cisco Unified Communications Manager (Unified CM) and Cisco Unified...;https://nvd.nist.gov/vuln/detail/CVE-2021-1406
Cisco Unified Communications Manager;>= 11.5(1) and <= 11.5(1.22900.28);CVE-2021-44228;Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and...;https://nvd.nist.gov/vuln/detail/CVE-2021-44228
Cisco Unified Communications Manager;>= 12.0 and < 12.0(1)su4;CVE-2021-1282;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1282
Cisco Unified Communications Manager;>= 12.0 and < 12.0(1)su4;CVE-2021-1355;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1355
Cisco Unified Communications Manager;>= 12.0 and < 12.0(1)su4;CVE-2021-1357;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1357
Cisco Unified Communications Manager;>= 12.0 and < 12.0(1)su4;CVE-2021-1364;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1364
Cisco Unified Communications Manager;>= 12.0 and <= 12.0(1.10000.10);CVE-2019-15963;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2019-15963
Cisco Unified Communications Manager;>= 12.0(1) and < 12.5(1)su4;CVE-2021-1362;A vulnerability in the SOAP API endpoint of Cisco Unified Communications Manager, Cisco...;https://nvd.nist.gov/vuln/detail/CVE-2021-1362
Cisco Unified Communications Manager;>= 12.0(1) and <= 12.5(1);CVE-2020-3282;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2020-3282
Cisco Unified Communications Manager;>= 12.0(1) and <= 12.5(1);CVE-2020-3346;A vulnerability in the web UI of Cisco Unified Communications Manager (Unified CM) and...;https://nvd.nist.gov/vuln/detail/CVE-2020-3346
Cisco Unified Communications Manager;>= 12.0(1) and <= 12.5(1)su5;CVE-2021-1406;A vulnerability in Cisco Unified Communications Manager (Unified CM) and Cisco Unified...;https://nvd.nist.gov/vuln/detail/CVE-2021-1406
Cisco Unified Communications Manager;>= 12.0(1)su1 and <= 12.5(1)su8a;CVE-2024-20375;A vulnerability in the SIP call processing function of Cisco Unified Communications Man...;https://nvd.nist.gov/vuln/detail/CVE-2024-20375
Cisco Unified Communications Manager;>= 12.0(1)su1 and <= 12.5(1)su9;CVE-2024-20511;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2024-20511
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-12707;A vulnerability in the web-based interface of multiple Cisco Unified Communications pro...;https://nvd.nist.gov/vuln/detail/CVE-2019-12707
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-12710;A vulnerability in the web-based interface of Cisco Unified Communications Manager and...;https://nvd.nist.gov/vuln/detail/CVE-2019-12710
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-12711;A vulnerability in the web-based interface of Cisco Unified Communications Manager and...;https://nvd.nist.gov/vuln/detail/CVE-2019-12711
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-12715;A vulnerability in the web-based interface of Cisco Unified Communications Manager and...;https://nvd.nist.gov/vuln/detail/CVE-2019-12715
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-12716;A vulnerability in the web-based interface of Cisco Unified Communications Manager and...;https://nvd.nist.gov/vuln/detail/CVE-2019-12716
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-15272;A vulnerability in the web-based interface of Cisco Unified Communications Manager and...;https://nvd.nist.gov/vuln/detail/CVE-2019-15272
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-15972;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2019-15972
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-1837;A vulnerability in the User Data Services (UDS) API of Cisco Unified Communications Man...;https://nvd.nist.gov/vuln/detail/CVE-2019-1837
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-1887;A vulnerability in the Session Initiation Protocol (SIP) protocol implementation of Cis...;https://nvd.nist.gov/vuln/detail/CVE-2019-1887
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2019-1915;A vulnerability in the web-based interface of Cisco Unified Communications Manager, Cis...;https://nvd.nist.gov/vuln/detail/CVE-2019-1915
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2020-3177;A vulnerability in the Tool for Auto-Registered Phones Support (TAPS) of Cisco Unified...;https://nvd.nist.gov/vuln/detail/CVE-2020-3177
Cisco Unified Communications Manager;>= 12.0(1.10000.10) and <= 12.5(1.10000.22);CVE-2023-20116;A vulnerability in the Administrative XML Web Service (AXL) API of Cisco Unified Commun...;https://nvd.nist.gov/vuln/detail/CVE-2023-20116
Cisco Unified Communications Manager;>= 12.5 and < 12.5(1)su4;CVE-2021-1282;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1282
Cisco Unified Communications Manager;>= 12.5 and < 12.5(1)su4;CVE-2021-1355;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1355
Cisco Unified Communications Manager;>= 12.5 and < 12.5(1)su4;CVE-2021-1357;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1357
Cisco Unified Communications Manager;>= 12.5 and < 12.5(1)su4;CVE-2021-1364;Multiple vulnerabilities in Cisco Unified Communications Manager IM &amp, Presence Serv...;https://nvd.nist.gov/vuln/detail/CVE-2021-1364
Cisco Unified Communications Manager;>= 12.5 and < 14su5;CVE-2026-20045;A vulnerability in Cisco Unified Communications Manager (Unified CM), Cisco Unified Com...;https://nvd.nist.gov/vuln/detail/CVE-2026-20045
Cisco Unified Communications Manager;>= 12.5 and <= 12.5(1.10000.22);CVE-2019-15963;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2019-15963
Cisco Unified Communications Manager;>= 12.5 and <= 12.5(1.10000.22);CVE-2022-20791;A vulnerability in the database user privileges of Cisco Unified Communications Manager...;https://nvd.nist.gov/vuln/detail/CVE-2022-20791
Cisco Unified Communications Manager;>= 12.5(1) and < 12.5(1)su6;CVE-2022-20752;A vulnerability in Cisco Unified Communications Manager (Unified CM), Cisco Unified Com...;https://nvd.nist.gov/vuln/detail/CVE-2022-20752
Cisco Unified Communications Manager;>= 12.5(1) and < 12.5(1)su6;CVE-2022-20787;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20787
Cisco Unified Communications Manager;>= 12.5(1) and < 12.5(1)su6;CVE-2022-20788;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20788
Cisco Unified Communications Manager;>= 12.5(1) and < 12.5(1)sub;CVE-2023-20211;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2023-20211
Cisco Unified Communications Manager;>= 12.5(1) and <= 12.5(1)su9;CVE-2025-20278;A vulnerability in the CLI of multiple Cisco Unified Communications products could allo...;https://nvd.nist.gov/vuln/detail/CVE-2025-20278
Cisco Unified Communications Manager;>= 12.5(1) and <= 12.6(1);CVE-2024-20488;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2024-20488
Cisco Unified Communications Manager;>= 14.0 and < 14su1;CVE-2022-20752;A vulnerability in Cisco Unified Communications Manager (Unified CM), Cisco Unified Com...;https://nvd.nist.gov/vuln/detail/CVE-2022-20752
Cisco Unified Communications Manager;>= 14.0 and < 14su1;CVE-2022-20787;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20787
Cisco Unified Communications Manager;>= 14.0 and < 14su1;CVE-2022-20788;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20788
Cisco Unified Communications Manager;>= 14.0 and < 14su2;CVE-2022-20815;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20815
Cisco Unified Communications Manager;>= 14.0 and < 14su2;CVE-2022-20859;A vulnerability in the Disaster Recovery framework of Cisco Unified Communications Mana...;https://nvd.nist.gov/vuln/detail/CVE-2022-20859
Cisco Unified Communications Manager;>= 14.0 and < 14su2;CVE-2022-20862;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2022-20862
Cisco Unified Communications Manager;>= 14.0 and < 14su2;CVE-2023-20010;A vulnerability in the web-based management interface of Cisco Unified Communications M...;https://nvd.nist.gov/vuln/detail/CVE-2023-20010
Cisco Unified Communications Manager;>= 14.0 and < 14su3;CVE-2024-20253;A vulnerability in multiple Cisco Unified Communications and Contact Center Solutions p...;https://nvd.nist.gov/vuln/detail/CVE-2024-20253
Cisco Unified Communications Manager;>= 14.0 and < 14su6;CVE-2026-20230;A vulnerability in Cisco Unified Communications Manager (Unified CM) and Cisco Unified...;https://nvd.nist.gov/vuln/detail/CVE-2026-20230
